Rowno,Count,Count,Row,Row,Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,21,21,"3,4,12,14,17,19,21,22,24,25,28,31,32,33,40,41,42,43,44,51,53,,,,,,,,,,,,,,,,,,","3,4,12,14,17,19,21,22,24,25,28,31,32,33,40,41,42,43,44,51,53,,,,,,,,,,,,,,,,,,",3,4,12,14,17,19,21,22,24,25,28,31,32,33,40,41,42,43,44,51,53,,,,,,,,,,,,,,,,,,
62,21,21,"5,12,13,14,15,17,18,21,22,26,27,28,32,35,37,40,48,49,52,54,55,,,,,,,,,,,,,,,,,,","5,12,13,14,15,17,18,21,22,26,27,28,32,35,37,40,48,49,52,54,55,,,,,,,,,,,,,,,,,,",5,12,13,14,15,17,18,21,22,26,27,28,32,35,37,40,48,49,52,54,55,,,,,,,,,,,,,,,,,,
14,20,20,"1,4,5,12,15,17,18,19,20,25,28,31,32,37,39,40,42,49,51,54,,,,,,,,,,,,,,,,,,,","1,4,5,12,15,17,18,19,20,25,28,31,32,37,39,40,42,49,51,54,,,,,,,,,,,,,,,,,,,",1,4,5,12,15,17,18,19,20,25,28,31,32,37,39,40,42,49,51,54,,,,,,,,,,,,,,,,,,,
18,20,20,",1,3,5,12,15,17,18,21,24,26,28,30,32,33,42,44,49,52,53,51,,,,,,,,,,,,,,,,,,",",1,3,5,12,15,17,18,21,24,26,28,30,32,33,42,44,49,52,53,51,,,,,,,,,,,,,,,,,,",,1,3,5,12,15,17,18,21,24,26,28,30,32,33,42,44,49,52,53,51,,,,,,,,,,,,,,,,,,
32,20,20,"2,3,15,20,21,22,26,30,32,33,37,38,42,44,46,49,51,52,53,55,,,,,,,,,,,,,,,,,,,","2,3,15,20,21,22,26,30,32,33,37,38,42,44,46,49,51,52,53,55,,,,,,,,,,,,,,,,,,,",2,3,15,20,21,22,26,30,32,33,37,38,42,44,46,49,51,52,53,55,,,,,,,,,,,,,,,,,,,
21,18,18,"1,3,15,17,18,21,22,26,27,28,30,32,33,38,40,42,49,52,,,,,,,,,,,,,,,,,,,,,","1,3,15,17,18,21,22,26,27,28,30,32,33,38,40,42,49,52,,,,,,,,,,,,,,,,,,,,,",1,3,15,17,18,21,22,26,27,28,30,32,33,38,40,42,49,52,,,,,,,,,,,,,,,,,,,,,
63,18,18,"5,10,12,14,15,19,20,22,27,28,30,32,33,36,37,38,44,49,,,,,,,,,,,,,,,,,,,,,","5,10,12,14,15,19,20,22,27,28,30,32,33,36,37,38,44,49,,,,,,,,,,,,,,,,,,,,,",5,10,12,14,15,19,20,22,27,28,30,32,33,36,37,38,44,49,,,,,,,,,,,,,,,,,,,,,
22,16,16,"2,3,5,12,15,22,26,28,31,34,35,41,43,44,,51,55,,,,,,,,,,,,,,,,,,,,,,","2,3,5,12,15,22,26,28,31,34,35,41,43,44,,51,55,,,,,,,,,,,,,,,,,,,,,,",2,3,5,12,15,22,26,28,31,34,35,41,43,44,,51,55,,,,,,,,,,,,,,,,,,,,,,
65,17,17,"5,13,14,17,20,26,27,28,32,33,36,37,38,39,42,44,55,,,,,,,,,,,,,,,,,,,,,,","5,13,14,17,20,26,27,28,32,33,36,37,38,39,42,44,55,,,,,,,,,,,,,,,,,,,,,,",5,13,14,17,20,26,27,28,32,33,36,37,38,39,42,44,55,,,,,,,,,,,,,,,,,,,,,,
52,16,16,"4,12,14,19,2,24,26,28,34,37,38,41,42,43,45,52,,,,,,,,,,,,,,,,,,,,,,,","4,12,14,19,2,24,26,28,34,37,38,41,42,43,45,52,,,,,,,,,,,,,,,,,,,,,,,",4,12,14,19,2,24,26,28,34,37,38,41,42,43,45,52,,,,,,,,,,,,,,,,,,,,,,,
