Rowno,Word,Count,Row,Root,Percent observed agreement,Aggreement Percent (Complex),Aggreement Percent (Simple)
91,नितान्त,7,"10,15,19,22,42,43,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",नितान्त,0.75,14.8936170213,85.1063829787
146,व्याकुल,7,"16,25,41,42,44,46,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",व्याकुल,0.75,14.8936170213,85.1063829787
167,प्रतिध्वनित,7,"19,30,34,49,51,21,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",प्रतिध्वनित,0.75,14.8936170213,85.1063829787
174,इठलाने,7,"20,,25,26,30,38,44,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.75,14.8936170213,85.1063829787
5,माफिक,6,"1,12,16,24,28,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",माफिक,0.7806122449,12.7659574468,87.2340425532
34,उपभोक्ता,6,"3,7,26,28,41,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उपभोक्ता,0.7806122449,12.7659574468,87.2340425532
64,संचालित,6,"5,12,17,31,43,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",संचालित,0.7806122449,12.7659574468,87.2340425532
68,छिटक,6,"5,17,28,40,46,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.7806122449,12.7659574468,87.2340425532
78,अनुपम,6,"7,12,15,22,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अनुपम,0.7806122449,12.7659574468,87.2340425532
89,तरकारी,6,"9,17,30,37,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",तरकारी,0.7806122449,12.7659574468,87.2340425532
94,प्रचार-प्रसार,6,"12,14,20,25,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",प्रचार-प्रसार,0.7806122449,12.7659574468,87.2340425532
133,उत्पाद,6,"15,22,28,41,43,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उत्पाद,0.7806122449,12.7659574468,87.2340425532
145,गेसू,6,"16,28,30,43,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.7806122449,12.7659574468,87.2340425532
163,रस्सियाँ,6,",19,35,55,28,35,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",रस्सी,0.7806122449,12.7659574468,87.2340425532
77,विज्ञापन,5,"7,12,15,33,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विज्ञापन,0.7806122449,10.6382978723,89.3617021277
31,गठन,5,"2,17,41,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",गठन,0.8129251701,10.6382978723,89.3617021277
37,चायखाने,5,"3,28,31,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8129251701,10.6382978723,89.3617021277
39,मछुआरों,5,",3,20,16,35,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मछुआरा,0.8129251701,10.6382978723,89.3617021277
47,मूसलाधार,5,"3,16,24,35,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मूसलाधार,0.8129251701,10.6382978723,89.3617021277
55,अभिन्न,5,"4,24,37,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अभिन्न,0.8129251701,10.6382978723,89.3617021277
72,उत्पादन,5,"15,22,24,28,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उत्पादन,0.8129251701,10.6382978723,89.3617021277
106,खुलाव,5,"12,13,28,33,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8129251701,10.6382978723,89.3617021277
136,उपन्यासों,5,"15,17,19,36,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उपन्यास,0.8129251701,10.6382978723,89.3617021277
168,अनुयायी,5,"19,30,34,43,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अनुयायी,0.8129251701,10.6382978723,89.3617021277
16,बारजे,4,"1,17,19,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",बारजा,0.8469387755,8.5106382979,91.4893617021
19,ऐंठने,4,"1,12,34,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",ऐंठ,0.8469387755,8.5106382979,91.4893617021
73,ठेकेदार,4,"12,51,37,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",ठेकेदार,0.8469387755,8.5106382979,91.4893617021
84,गतिविधियों,4,"7,35,38,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8469387755,8.5106382979,91.4893617021
123,मुरझाए,4,"13,16,44,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8469387755,8.5106382979,91.4893617021
127,बेधड़क,4,"14,35,38,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",बेधड़क,0.8469387755,8.5106382979,91.4893617021
149,कुंभलगढ़,4,"16,24,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",कुंभलगढ़,0.8469387755,8.5106382979,91.4893617021
177,बाल-स्मृतियाँ,4,"20,21,,37,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8469387755,8.5106382979,91.4893617021
662,भूमिका,3,"30,42,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",भूमिका,0.8469387755,6.3829787234,93.6170212766
57,सहसा,3,"4,19,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सहसा,0.8826530612,6.3829787234,93.6170212766
86,ऋतु,3,"7,19,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",ऋतु,0.8826530612,6.3829787234,93.6170212766
93,अभियान,3,"12,24,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अभियान,0.8826530612,6.3829787234,93.6170212766
96,अंकलेश्वर,3,"12,26,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8826530612,6.3829787234,93.6170212766
102,उपलब्धि,3,"12,33,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उपलब्धि,0.8826530612,6.3829787234,93.6170212766
114,स्मृतियाँ,3,"12,19,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",स्मृति,0.8826530612,6.3829787234,93.6170212766
121,अद्भुत,3,"13,19,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अद्भुत,0.8826530612,6.3829787234,93.6170212766
128,कंठ,3,"14,28,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",कंठ,0.8826530612,6.3829787234,93.6170212766
143,बांधकर,3,"16,37,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",बाँध,0.8826530612,6.3829787234,93.6170212766
