word,length,syllables,consonants,vowels,consonantconjuncts,count,senses,synonyms,hypernyms,hyponyms,authors,years,source
घोड़ा,4,1,1,2,0,20,0,0,0,0,"Sudhakar Adeeb,Usha Kiran Khan,Premchand,Santosh Shrivastav,Jitendra Visaria,dada bhagvan,na","2000,2015,1932,2003,unk,2004,na","story_na,story_bhandarkar oriental research institute"
खुश,3,1,2,1,0,734,1,36,0,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Suraj Prakash,Mamta Kalia,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Tufail Chaturvedi,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Yashpal Jain,Jainandan,Ravindra Kalia,Manisha Kulshreshth,Sharatchandra Chattopadhyay,na,dada bhagvan","2010,2000,2015,2012,1888,2009,1928,1952,unk,1983,1936,1949,1932,2005,1998,2006,2003,2013,1917,na,2004,2007,2008","story_na,wiki_automobiles,wiki_cinema,wiki_education,wiki_health,wiki_politics,wiki_transport,story_bhandarkar oriental research institute,web_news"
पुराना,6,3,3,3,0,330,3,25,0,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Mehrunisa Parvez,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Suraj Prakash,Mamta Kalia,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Santosh Chaube,Kavita,Premchand Sahajvala,Sharatchandra Chattopadhyay,Anwar Suhail,Jainandan,Ravindra Kalia,Manisha Kulshreshth,Santosh Shrivastav,na,dada bhagvan","2010,2000,2015,1982,2012,1888,2009,1928,1952,unk,1983,1936,1949,1929,1932,2005,1998,2006,2013,1926,1988,1917,na","story_na,wiki_art,wiki_automobiles,wiki_books,wiki_culture,wiki_defence,wiki_food,wiki_health,wiki_history,wiki_music,wiki_religion,wiki_science,wiki_sports,wiki_technology,wiki_tourism,wiki_transport,wiki_universe,wiki_wedding,story_bhandarkar oriental research institute,web_news"
चलकर,4,3,4,0,0,115,0,0,0,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Jayshree Roy,Premchand,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Tufail Chaturvedi,Santosh Chaube,Premchand Sahajvala,Sharatchandra Chattopadhyay,Anwar Suhail,Santosh Shrivastav,na,dada bhagvan","2010,2000,2015,2012,1928,unk,1983,1949,1932,1998,2006,2013,1926,2009,1988,na,2004","story_na,wiki_animals,wiki_books,wiki_cinema,wiki_culture,wiki_education,wiki_festivals,wiki_health,wiki_history,wiki_law,wiki_money,wiki_nature,wiki_religion,wiki_science,wiki_tourism,wiki_transport,wiki_universe,wiki_weather,story_bhandarkar oriental research institute,web_news"
मजबूत,5,3,4,1,0,275,3,32,0,0,"Kunal Singh,Usha Kiran Khan,Naresh Nadeem,Devkinandan Khatri,Asgar Vajahat,Premchand,Tufail Chaturvedi,Vibhooti Narayan Roy,Santosh Chaube,Santosh Shrivastav,Kavita,Premchand Sahajvala,Kashinath Singh,Jainandan,unk,Yashwant Kothari,Jitendra Visaria,na","2010,2015,2012,1888,unk,1936,1932,1998,2006,2003,2013,2009,2008,1988,1983,na","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_music,wiki_nature,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_transport,wiki_universe,web_news"
बहता,4,2,3,1,0,21,1,12,0,0,"Sudhakar Adeeb,Usha Kiran Khan,Jayshree Roy,Dharmveer Bharti,Vibhooti Narayan Roy,Santosh Shrivastav,Manisha Kulshreshth,unk,na,dada bhagvan","2000,2015,2012,1949,1998,2003,1988,unk,na,2004","story_na,wiki_books,wiki_history,wiki_nature,wiki_transport,wiki_universe,story_bhandarkar oriental research institute,web_news"
सुबह,4,2,3,1,0,1267,2,40,31,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Mehrunisa Parvez,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Sharatchandra Chattopadhyay,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Kashinath Singh,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Yashwant Kothari,Jitendra Visaria,na,dada bhagvan","2010,2000,2015,1982,2012,1888,1920,2009,1928,1952,unk,1983,1936,1949,1932,2005,1998,2006,2003,2013,1926,2008,1988,1917,na,1997,2004,2014,2007","story_na,wiki_books,wiki_culture,wiki_festivals,wiki_food,wiki_health,wiki_parenting,wiki_religion,wiki_science,wiki_sports,wiki_transport,wiki_universe,story_bhandarkar oriental research institute,web_news"
मजबूत,5,3,4,1,0,275,3,32,0,0,"Kunal Singh,Usha Kiran Khan,Naresh Nadeem,Devkinandan Khatri,Asgar Vajahat,Premchand,Tufail Chaturvedi,Vibhooti Narayan Roy,Santosh Chaube,Santosh Shrivastav,Kavita,Premchand Sahajvala,Kashinath Singh,Jainandan,unk,Yashwant Kothari,Jitendra Visaria,na","2010,2015,2012,1888,unk,1936,1932,1998,2006,2003,2013,2009,2008,1988,1983,na","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_music,wiki_nature,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_transport,wiki_universe,web_news"
विवाह,5,2,3,2,0,580,2,16,11,41,"Sudhakar Adeeb,Mamta Kalia,Sharatchandra Chattopadhyay,Premchand,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Amrita Pritam,Santosh Chaube,A. Asafal,Santosh Shrivastav,Premchand Sahajvala,Anwar Suhail,Yashpal Jain,Ravindra Kalia,unk,na,dada bhagvan","2000,1920,2009,1928,unk,1983,1936,1949,1929,1932,2006,2003,2013,1926,1917,na,2004,2012,2010,2008","story_na,wiki_art,wiki_books,wiki_cinema,wiki_culture,wiki_festivals,wiki_food,wiki_history,wiki_law,wiki_money,wiki_music,wiki_ngo,wiki_parenting,wiki_religion,wiki_science,wiki_wedding,story_bhandarkar oriental research institute,web_news"
मिट्टी,6,2,3,3,1,334,1,8,0,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Suraj Prakash,Mamta Kalia,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Amrita Pritam,Tufail Chaturvedi,Santosh Chaube,Santosh Shrivastav,Kavita,Premchand Sahajvala,Sharatchandra Chattopadhyay,Anwar Suhail,Yashpal Jain,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Ayodhya Singh Upadhayay Hariaudh,Jitendra Visaria,na,dada bhagvan","2010,2000,2015,2012,1888,2009,1928,1952,unk,1983,1936,1949,1929,1932,1998,2006,2003,2013,1926,1988,1917,1899,na,2004","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_culture,wiki_festivals,wiki_food,wiki_history,wiki_music,wiki_nature,wiki_religion,wiki_science,wiki_sports,wiki_transport,wiki_universe,story_bhandarkar oriental research institute,web_news"
