Rowno,Word,Count,Row,Root,Percent observed agreement,Aggreement Percent (Complex),Aggreement Percent (Simple)
39,मछुआरों,5,",3a,20a,16a,35a,51a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मछुआरा,0.8129251701,10.6382978723,89.3617021277
47,मूसलाधार,5,"3a,16a,24a,35a,38a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मूसलाधार,0.8129251701,10.6382978723,89.3617021277
55,अभिन्न,5,"4a,24a,37a,43a,44a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अभिन्न,0.8129251701,10.6382978723,89.3617021277
72,उत्पादन,5,"15a,22a,24a,28a,46a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उत्पादन,0.8129251701,10.6382978723,89.3617021277
106,खुलाव,5,"12a,13a,28a,33a,37a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8129251701,10.6382978723,89.3617021277
136,उपन्यासों,5,"15a,17a,19a,36a,48a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उपन्यास,0.8129251701,10.6382978723,89.3617021277
168,अनुयायी,5,"19a,30a,34a,43a,54a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अनुयायी,0.8129251701,10.6382978723,89.3617021277
16,बारजे,4,"1a,17a,19a,43a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",बारजा,0.8469387755,8.5106382979,91.4893617021
19,ऐंठने,4,"1a,12a,34a,39a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",ऐंठ,0.8469387755,8.5106382979,91.4893617021
73,ठेकेदार,4,"12a,51a,37a,46a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",ठेकेदार,0.8469387755,8.5106382979,91.4893617021
84,गतिविधियों,4,"7a,35a,38a,46a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8469387755,8.5106382979,91.4893617021
123,मुरझाए,4,"13a,16a,44a,53a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8469387755,8.5106382979,91.4893617021
127,बेधड़क,4,"14a,35a,38a,54a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",बेधड़क,0.8469387755,8.5106382979,91.4893617021
149,कुंभलगढ़,4,"16a,24a,26a,28a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",कुंभलगढ़,0.8469387755,8.5106382979,91.4893617021
177,बाल-स्मृतियाँ,4,"20a,21a,,37a,46a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8469387755,8.5106382979,91.4893617021
662,भूमिका,3,"30a,42a,,51a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",भूमिका,0.8469387755,6.3829787234,93.6170212766
57,सहसा,3,"4a,19a,37a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सहसा,0.8826530612,6.3829787234,93.6170212766
86,ऋतु,3,"7a,19a,37a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",ऋतु,0.8826530612,6.3829787234,93.6170212766
93,अभियान,3,"12a,24a,42a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अभियान,0.8826530612,6.3829787234,93.6170212766
96,अंकलेश्वर,3,"12a,26a,35a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8826530612,6.3829787234,93.6170212766
102,उपलब्धि,3,"12a,33a,46a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उपलब्धि,0.8826530612,6.3829787234,93.6170212766
114,स्मृतियाँ,3,"12a,19a,35a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",स्मृति,0.8826530612,6.3829787234,93.6170212766
121,अद्भुत,3,"13a,19a,43a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अद्भुत,0.8826530612,6.3829787234,93.6170212766
128,कंठ,3,"14a,28a,41a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",कंठ,0.8826530612,6.3829787234,93.6170212766
143,बांधकर,3,"16a,37a,40a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",बाँध,0.8826530612,6.3829787234,93.6170212766
150,सन्नाटा,3,"16a,24a,37a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सन्नाटा,0.8826530612,6.3829787234,93.6170212766
152,सून,3,"17a,28a,40a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8826530612,6.3829787234,93.6170212766
156,विकल,3,"17a,33a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विकल,0.8826530612,6.3829787234,93.6170212766
162,मालिन,3,"19a,39a,49a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मालिन,0.8826530612,6.3829787234,93.6170212766
166,तेन्दुए,3,"19a,44a,3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8826530612,6.3829787234,93.6170212766
171,प्रथा,3,"20a,38a,43a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",प्रथा,0.8826530612,6.3829787234,93.6170212766
179,भुगतान,3,"21a,25a,44a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",भुगतान,0.8826530612,6.3829787234,93.6170212766
573,चारपाइयों,3,",28a,36a,46a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",चारपाई,0.8826530612,6.3829787234,93.6170212766
105,बँधे-बँधाये,2,"12a,14a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8826530612,4.2553191489,95.7446808511
7,दर्जों,2,"1a,19a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दर्जा,0.9200680272,4.2553191489,95.7446808511
58,अंधड़,2,"4a,28a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अंधड़,0.9200680272,4.2553191489,95.7446808511
